Powerdrop	Device	Hours	celsius
-0.350140	104	2625	150
-0.358430	104	2750	150
-0.367480	104	2875	150
-0.379000	104	3000	150
-0.401340	104	3125	150
-0.406410	104	3250	150
-0.416820	104	3375	150
-0.423620	104	3500	150
-0.447470	104	3625	150
-0.454790	104	3750	150
-0.464340	104	3875	150
-0.478790	104	4000	150
0.000000	105	0	150
-0.011330	105	125	150
-0.028820	105	250	150
-0.044480	105	375	150
-0.061250	105	500	150
-0.072050	105	625	150
-0.088230	105	750	150
-0.106440	105	875	150
-0.120210	105	1000	150
-0.140800	105	1125	150
-0.151250	105	1250	150
-0.173080	105	1375	150
-0.185650	105	1500	150
-0.205490	105	1625	150
-0.217060	105	1750	150
-0.244020	105	1875	150
-0.253700	105	2000	150
-0.275730	105	2125	150
-0.300810	105	2250	150
-0.318590	105	2375	150
-0.341340	105	2500	150
-0.354550	105	2625	150
-0.365160	105	2750	150
-0.380280	105	2875	150
-0.399600	105	3000	150
-0.414780	105	3125	150
-0.428320	105	3250	150
-0.437420	105	3375	150
-0.449240	105	3500	150
-0.458210	105	3625	150
-0.476810	105	3750	150
-0.485200	105	3875	150
-0.495900	105	4000	150
0.000000	106	0	150
-0.016290	106	125	150
-0.042400	106	250	150
-0.060000	106	375	150
-0.081470	106	500	150
-0.093920	106	625	150
-0.117010	106	750	150
-0.127640	106	875	150
-0.143060	106	1000	150
-0.156920	106	1125	150
-0.175020	106	1250	150
-0.186970	106	1375	150
-0.202450	106	1500	150
-0.236610	106	1625	150
-0.250170	106	1750	150
-0.259500	106	1875	150
-0.272230	106	2000	150
-0.282830	106	2125	150
-0.299430	106	2250	150
-0.314220	106	2375	150
-0.323940	106	2500	150
-0.337830	106	2625	150
-0.348180	106	2750	150
-0.370960	106	2875	150
-0.385910	106	3000	150
-0.397050	106	3125	150
-0.406670	106	3250	150
-0.426070	106	3375	150
-0.437200	106	3500	150
-0.448630	106	3625	150
-0.458390	106	3750	150
-0.470420	106	3875	150
-0.478860	106	4000	150
0.000000	107	0	150
-0.008789	107	125	150
-0.016061	107	250	150
-0.031512	107	375	150
-0.041114	107	500	150
-0.052500	107	625	150
-0.077261	107	750	150
-0.088892	107	875	150
-0.096695	107	1000	150
-0.113813	107	1125	150
-0.121901	107	1250	150
-0.131491	107	1375	150
-0.142345	107	1500	150
-0.147830	107	1625	150
-0.170941	107	1750	150
-0.180640	107	1875	150
-0.189825	107	2000	150
-0.197581	107	2125	150
-0.206794	107	2250	150
-0.213146	107	2375	150
-0.220102	107	2500	150
-0.231253	107	2625	150
-0.240209	107	2750	150
-0.247423	107	2875	150
-0.259413	107	3000	150
-0.266891	107	3125	150
-0.279424	107	3250	150
-0.288318	107	3375	150
-0.294026	107	3500	150
-0.305820	107	3625	150
-0.312232	107	3750	150
-0.322271	107	3875	150
-0.328525	107	4000	150
0.000000	108	0	195
-0.077400	108	125	195
-0.173100	108	250	195
-0.303900	108	375	195
-0.394900	108	500	195
-0.488800	108	625	195
-0.527400	108	750	195
-0.571900	108	875	195
-0.632600	108	1000	195
-0.688900	108	1125	195
-0.735600	108	1250	195
-0.770900	108	1375	195
-0.795400	108	1500	195
-0.825100	108	1625	195
-0.861900	108	1750	195
-0.883700	108	1875	195
-0.909200	108	2000	195
0.000000	109	0	195
-0.191200	109	125	195
-0.344000	109	250	195
-0.444900	109	375	195
-0.510100	109	500	195
-0.592600	109	625	195
-0.659600	109	750	195
-0.734800	109	875	195
-0.803400	109	1000	195
-0.877500	109	1125	195
-0.953400	109	1250	195
-0.989700	109	1375	195
-1.034600	109	1500	195
-1.066400	109	1625	195
-1.095000	109	1750	195
-1.121100	109	1875	195
-1.159200	109	2000	195
0.000000	110	0	195
-0.102900	110	125	195
-0.154000	110	250	195
-0.237800	110	375	195
-0.298600	110	500	195
-0.348300	110	625	195
-0.402500	110	750	195
-0.462200	110	875	195
-0.497000	110	1000	195
-0.532500	110	1125	195
-0.586600	110	1250	195
-0.648200	110	1375	195
-0.678100	110	1500	195
-0.705300	110	1625	195
-0.797700	110	1750	195
-0.843200	110	1875	195
-0.859500	110	2000	195
0.000000	111	0	195
-0.108200	111	125	195
-0.189500	111	250	195
-0.280800	111	375	195
-0.325900	111	500	195
-0.376100	111	625	195
-0.435500	111	750	195
-0.503200	111	875	195
-0.580700	111	1000	195
-0.653400	111	1125	195
-0.686500	111	1250	195
-0.729400	111	1375	195
-0.773000	111	1500	195
-0.805900	111	1625	195
-0.831800	111	1750	195
-0.860400	111	1875	195
-0.917800	111	2000	195
0.000000	112	0	195
-0.063160	112	125	195
-0.140500	112	250	195
-0.179880	112	375	195
-0.292420	112	500	195
-0.340890	112	625	195
-0.411420	112	750	195
-0.481820	112	875	195
-0.517470	112	1000	195
-0.564190	112	1125	195
-0.632490	112	1250	195
-0.675180	112	1375	195
-0.711750	112	1500	195
-0.753380	112	1625	195
-0.785660	112	1750	195
-0.822400	112	1875	195
-0.839510	112	2000	195
0.000000	113	0	195
-0.070900	113	125	195
-0.176300	113	250	195
-0.229300	113	375	195
-0.381700	113	500	195
-0.435100	113	625	195
-0.514400	113	750	195
-0.575300	113	875	195
-0.688700	113	1000	195
-0.717600	113	1125	195
-0.761200	113	1250	195
-0.809100	113	1375	195
-0.834200	113	1500	195
-0.873800	113	1625	195
-0.924000	113	1750	195
-0.957400	113	1875	195
-0.978500	113	2000	195
0.000000	114	0	195
-0.127000	114	125	195
-0.215800	114	250	195
-0.302200	114	375	195
-0.363800	114	500	195
-0.412300	114	625	195
-0.463300	114	750	195
-0.501100	114	875	195
-0.547600	114	1000	195
-0.580600	114	1125	195
-0.637400	114	1250	195
-0.731900	114	1375	195
-0.755900	114	1500	195
-0.768600	114	1625	195
-0.811600	114	1750	195
-0.852800	114	1875	195
-0.879200	114	2000	195
0.000000	115	0	195
-0.094070	115	125	195
-0.211600	115	250	195
-0.267050	115	375	195
-0.380840	115	500	195
-0.430890	115	625	195
-0.502360	115	750	195
-0.569910	115	875	195
-0.622730	115	1000	195
-0.662640	115	1125	195
-0.756120	115	1250	195
-0.792890	115	1375	195
-0.807960	115	1500	195
-0.839200	115	1625	195
-0.871040	115	1750	195
-0.907850	115	1875	195
-0.968710	115	2000	195
0.000000	116	0	195
-0.041590	116	125	195
-0.107480	116	250	195
-0.135390	116	375	195
-0.167480	116	500	195
-0.209980	116	625	195
-0.256760	116	750	195
-0.338510	116	875	195
-0.393720	116	1000	195
-0.432920	116	1125	195
-0.470930	116	1250	195
-0.506620	116	1375	195
-0.547780	116	1500	195
-0.596820	116	1625	195
-0.634500	116	1750	195
-0.661590	116	1875	195
-0.692390	116	2000	195
0.000000	117	0	195
-0.165800	117	125	195
-0.280900	117	250	195
-0.377700	117	375	195
-0.472800	117	500	195
-0.551600	117	625	195
-0.691100	117	750	195
-0.755600	117	875	195
-0.857500	117	1000	195
-0.981900	117	1125	195
-1.009700	117	1250	195
-1.066700	117	1375	195
-1.121800	117	1500	195
-1.144300	117	1625	195
-1.178900	117	1750	195
-1.204100	117	1875	195
-1.219200	117	2000	195
0.000000	118	0	195
-0.119800	118	125	195
-0.212100	118	250	195
-0.246700	118	375	195
-0.302800	118	500	195
-0.342300	118	625	195
-0.370600	118	750	195
-0.421600	118	875	195
-0.468000	118	1000	195
-0.525200	118	1125	195
-0.569200	118	1250	195
-0.605700	118	1375	195
-0.639300	118	1500	195
-0.666700	118	1625	195
-0.708700	118	1750	195
-0.760000	118	1875	195
-0.795800	118	2000	195
0.000000	119	0	195
-0.113100	119	125	195
-0.244400	119	250	195
-0.355600	119	375	195
-0.472600	119	500	195
-0.679400	119	625	195
-0.748500	119	750	195
-0.791500	119	875	195
-0.834300	119	1000	195
-0.867700	119	1125	195
-0.911400	119	1250	195
-0.951400	119	1375	195
-0.977800	119	1500	195
-1.001800	119	1625	195
-1.053100	119	1750	195
-1.083400	119	1875	195
-1.120600	119	2000	195
0.000000	120	0	237
-0.465800	120	125	237
-0.761200	120	250	237
-1.030900	120	375	237
-1.082700	120	500	237
-1.158800	120	625	237
-1.261300	120	750	237
-1.299200	120	875	237
-1.341400	120	1000	237
0.000000	121	0	237
-0.675500	121	125	237
-0.828100	121	250	237
-1.087800	121	375	237
-1.207300	121	500	237
-1.300500	121	625	237
-1.358900	121	750	237
-1.392300	121	875	237
-1.442300	121	1000	237
0.000000	122	0	237
-0.191300	122	125	237
-0.336200	122	250	237
-0.546200	122	375	237
-0.701900	122	500	237
-0.769500	122	625	237
-0.836200	122	750	237
-0.900800	122	875	237
-0.940900	122	1000	237
0.000000	123	0	237
-0.259800	123	125	237
-0.366400	123	250	237
-0.636200	123	375	237
-0.751000	123	500	237
-0.925100	123	625	237
-1.019700	123	750	237
-1.108600	123	875	237
-1.176200	123	1000	237
0.000000	124	0	237
-0.156900	124	125	237
-0.288300	124	250	237
-0.423700	124	375	237
-0.554900	124	500	237
-0.698400	124	625	237
-0.775900	124	750	237
-0.842000	124	875	237
-0.901900	124	1000	237
0.000000	125	0	237
-0.389300	125	125	237
-0.583000	125	250	237
-0.773600	125	375	237
-0.982100	125	500	237
-1.051700	125	625	237
-1.175500	125	750	237
-1.248400	125	875	237
-1.287100	125	1000	237
0.000000	126	0	237
-0.237700	126	125	237
-0.381700	126	250	237
-0.632500	126	375	237
-0.814300	126	500	237
-0.921400	126	625	237
-0.985000	126	750	237
-1.043900	126	875	237
-1.116400	126	1000	237
0.000000	127	0	237
-0.187100	127	125	237
-0.392100	127	250	237
-0.671300	127	375	237
-0.781700	127	500	237
-0.900100	127	625	237
-1.034700	127	750	237
-1.117000	127	875	237
-1.139200	127	1000	237
0.000000	128	0	237
-0.369000	128	125	237
-0.569500	128	250	237
-0.874200	128	375	237
-1.015600	128	500	237
-1.217800	128	625	237
-1.269400	128	750	237
-1.333800	128	875	237
-1.350500	128	1000	237
0.000000	129	0	237
-0.233200	129	125	237
-0.435500	129	250	237
-0.657400	129	375	237
-0.775600	129	500	237
-0.982900	129	625	237
-1.069700	129	750	237
-1.125600	129	875	237
-1.178000	129	1000	237
0.000000	130	0	237
-0.345600	130	125	237
-0.578100	130	250	237
-0.707900	130	375	237
-0.793100	130	500	237
-0.865800	130	625	237
-1.037500	130	750	237
-1.084400	130	875	237
-1.149000	130	1000	237
0.000000	131	0	237
-0.349700	131	125	237
-0.629500	131	250	237
-0.796500	131	375	237
-0.994000	131	500	237
-1.145500	131	625	237
-1.354700	131	750	237
-1.383600	131	875	237
-1.418900	131	1000	237
0.000000	132	0	237
-0.488600	132	125	237
-0.610000	132	250	237
-0.750700	132	375	237
-0.981300	132	500	237
-1.085500	132	625	237
-1.143400	132	750	237
-1.198800	132	875	237
-1.263100	132	1000	237
0.000000	133	0	237
-0.266100	133	125	237
-0.466600	133	250	237
-0.564300	133	375	237
-0.712100	133	500	237
-0.790300	133	625	237
-0.893600	133	750	237
-0.941100	133	875	237
-0.983800	133	1000	237
0.000000	134	0	237
-0.231900	134	125	237
-0.676300	134	250	237
-0.911500	134	375	237
-0.985000	134	500	237
-1.050600	134	625	237
-1.124400	134	750	237
-1.190800	134	875	237
-1.227000	134	1000	237
