celsius	RH	Days	Pounds
70	20	2	6.803911093
70	20	2	8.670717672
70	20	2	4.851266538
70	20	2	6.8346244
70	20	4	8.547112364
70	20	4	8.2213843
70	20	4	7.127674612
70	20	4	6.697737041
70	20	4	7.610172495
70	20	4	4.980648777
70	20	4	5.762697443
70	20	4	9.109675707
70	20	8	6.962185947
70	20	8	5.730295778
70	20	8	4.161821005
70	20	8	7.214776355
70	20	8	6.627381244
70	20	8	4.277370893
70	20	8	5.076164647
70	20	8	3.926249894
70	20	16	7.260593981
70	20	16	5.298368424
70	20	16	5.662118382
70	20	16	4.451237978
70	20	16	7.684363054
70	20	16	6.518378954
70	20	16	4.297492867
70	20	16	7.58646312
70	20	32	3.671402794
70	20	32	3.617716396
70	20	32	3.789813621
70	20	32	6.026042632
70	20	32	2.127032575
70	20	32	5.910731564
70	20	32	2.55057034
70	20	32	3.747045819
70	20	64	2.436888749
70	20	64	3.568436877
70	20	64	3.477681116
70	20	64	3.230278876
70	20	64	4.17181487
70	20	64	3.36988479
70	20	64	2.314941396
70	20	64	3.582003279
50	80	1	8.657644553
50	80	1	5.628062377
50	80	1	9.31461211
50	80	1	6.677964701
50	80	1	7.499864212
50	80	1	7.283544912
50	80	1	8.226488715
50	80	1	7.082787061
50	80	2	8.766241879
50	80	2	4.706642563
50	80	2	6.817808671
50	80	2	7.753462031
50	80	2	8.365992655
50	80	2	9.424378492
50	80	2	9.497342145
50	80	2	6.636228415
50	80	4	8.490030243
50	80	4	9.951446257
50	80	4	9.552751155
50	80	4	7.96838751
50	80	4	6.649654344
50	80	4	5.408344143
50	80	4	8.684663303
50	80	4	7.899431052
50	80	8	6.615519337
50	80	8	8.751992071
50	80	8	8.847935226
50	80	8	3.884067624
50	80	8	4.526181103
50	80	8	9.516723483
50	80	8	6.982066417
50	80	8	8.024437774
50	80	16	5.593164513
50	80	16	9.146983954
50	80	16	8.186102318
50	80	16	6.179443401
50	80	16	8.585481062
50	80	16	7.390592699
50	80	16	8.268241576
50	80	16	7.141085007
50	80	32	4.458116264
50	80	32	4.101855444
50	80	32	4.938493777
50	80	32	5.04643556
50	80	32	4.680483555
50	80	32	5.836160994
50	80	32	4.756089185
50	80	32	8.664986795
50	80	64	5.82473401
50	80	64	5.309325418
50	80	64	7.210206151
50	80	64	5.607855737
50	80	64	6.068736179
50	80	64	5.857297846
50	80	64	7.393493108
50	80	64	5.284236855
60	80	1	10.34813808
60	80	1	5.255432147
60	80	1	10.11785492
60	80	1	9.228935094
60	80	1	8.183867647
60	80	1	9.549752178
60	80	1	4.102768528
60	80	1	5.776391808
60	80	2	6.184188824
60	80	2	5.168857218
60	80	2	8.247337638
60	80	2	6.362760923
60	80	2	6.410338865
60	80	2	5.525713332
60	80	2	7.716224862
60	80	2	8.357940404
60	80	4	4.315524673
60	80	4	8.120842507
60	80	4	8.104714684
60	80	4	4.942660512
60	80	4	6.127460072
60	80	4	8.927744652
60	80	4	7.573581341
60	80	4	6.730096446
60	80	8	4.687546248
60	80	8	6.728302464
60	80	8	4.951451826
60	80	8	7.312475679
60	80	8	5.145537265
60	80	8	8.872759652
60	80	8	7.709975423
60	80	8	6.052046062
60	80	16	4.444790385
60	80	16	6.232056241
60	80	16	5.383798421
60	80	16	4.537076038
60	80	16	6.673086006
60	80	16	4.794383544
60	80	16	4.894862458
60	80	16	6.153011629
60	80	32	4.907931885
60	80	32	5.68491036
60	80	32	4.679540678
60	80	32	3.83381146
60	80	32	6.793615671
60	80	32	5.327925435
60	80	32	5.396284711
60	80	32	4.672536489
60	80	64	3.104531572
60	80	64	5.741336372
60	80	64	4.748863246
60	80	64	3.16244992
60	80	64	3.670255262
60	80	64	4.852525627
60	80	64	3.025392691
60	80	64	4.314277157
70	80	1	7.517564813
70	80	1	6.942152167
70	80	1	6.072004785
70	80	1	8.698199735
70	80	1	7.594548777
70	80	1	5.287506021
70	80	1	3.749845434
70	80	1	4.947502051
70	80	2	5.719506648
70	80	2	5.648745201
70	80	2	3.18913635
70	80	2	6.773972112
70	80	2	4.035668406
70	80	2	8.230957786
70	80	2	4.317354372
70	80	2	5.257541467
70	80	4	3.462375199
70	80	4	6.423754939
70	80	4	5.867568967
70	80	4	6.36536699
70	80	4	8.105715654
70	80	4	5.684226846
70	80	4	5.405029849
70	80	4	5.493291677
70	80	8	5.517138347
70	80	8	5.306397614
70	80	8	5.435357589
70	80	8	6.45277573
70	80	8	6.738868912
70	80	8	4.74299304
70	80	8	6.966019932
70	80	8	3.249638888
70	80	16	2.776175627
70	80	16	4.725811242
70	80	16	4.002789133
70	80	16	3.558190292
70	80	16	4.948198788
70	80	16	3.74317538
70	80	16	2.598950059
70	80	16	4.585086854
70	80	32	2.462448857
70	80	32	3.753976961
70	80	32	3.571276506
70	80	32	2.801258203
70	80	32	1.411080253
70	80	32	2.605725494
70	80	32	3.144972953
70	80	32	2.852332839
70	80	64	2.176333363
70	80	64	1.863444917
70	80	64	1.604307232
70	80	64	2.259610294
70	80	64	2.263145349
70	80	64	1.445431914
70	80	64	1.799960927
70	80	64	2.055935466
