Source Event Count Days Mode 
Field Censored        1       35 Censored
Field Censored        5      334 Censored
Field Censored       27      333 Censored
Field Censored       39      326 Censored
Field Censored        1      321 Censored
Field Censored       19      320 Censored
Field Censored        9      314 Censored
Field Censored       24      311 Censored
Field Censored       22      310 Censored
Field Censored       14      309 Censored
Field Censored       43      305 Censored
Field   Failed        1      130 Wear
Field   Failed        1      122 Cracked
Field   Failed        1      231 Cracked
Field   Failed        1       25 Wear
Field   Failed        1       56 Wear
Field   Failed        1      182 Wear
Field Censored        1      109 Censored
Field Censored        1       41 Censored
Field Censored        1      175 Censored
Field   Failed        1      122 Wear
Field   Failed        1      215 Cracked
Field   Failed        1      193 Wear
Field   Failed        1      124 Cracked
Field   Failed        1      228 Wear
Field Censored        1      215 Censored
Field   Failed        1      228 Cracked
Field Censored        1       21 Censored
Field Censored       31      296 Censored
Field Censored       43      294 Censored
Field Censored        1      291 Censored
Field Censored        4      289 Censored
Field Censored       95      275 Censored
Field Censored      174      274 Censored
Field   Failed        1      205 Wear
Field   Failed        1       99 Wear
Field Censored        1       72 Censored
Field Censored        1      188 Censored
Field   Failed        1      209 Wear
Field Censored        1      135 Censored
Field   Failed        1      185 Wear
Field   Failed        1       66 Wear
Field   Failed        1      148 Wear
Field   Failed        1       51 Wear
Field Censored        1       78 Censored
Field Censored        1      162 Censored
Field   Failed        1       93 Wear
Field Censored        1      147 Censored
Field   Failed        1       80 Wear
Field   Failed        1      189 Wear
Field   Failed        1       47 Wear
Field   Failed        1      163 Cracked
Field Censored        4      272 Censored
Field Censored       12      270 Censored
Field Censored        1      268 Censored
Field Censored        5      262 Censored
Field Censored       16      245 Censored
Field Censored       20      244 Censored
Field Censored      256      243 Censored
Field   Failed        1      179 Wear
Field Censored        1      179 Censored
Field   Failed        1      102 Wear
Field   Failed        1      102 Wear
Field   Failed        1       49 Wear
Field Censored        1       79 Censored
Field Censored        1       49 Censored
Field Censored        1      112 Censored
Field Censored        1      168 Censored
Field   Failed        1      185 Wear
Field Censored        1       39 Censored
Field Censored        1       21 Censored
Field   Failed        1      168 Wear
Field   Failed        1      132 Wear
Field Censored        1      166 Censored
Field Censored        1      111 Censored
Field Censored        1      133 Censored
Field Censored        1      119 Censored
Field Censored        1       55 Censored
Field Censored        1      125 Censored
Field Censored        1      140 Censored
Field   Failed        1      177 Wear
Field   Failed        1       33 Wear
Field Censored        1       88 Censored
Field Censored        1       49 Censored
Field Censored        7      242 Censored
Field Censored        8      241 Censored
Field Censored        9      236 Censored
Field Censored        4      234 Censored
Field Censored        4      225 Censored
Field Censored       22      223 Censored
Field Censored       20      222 Censored
Field Censored       28      221 Censored
Field Censored        2      220 Censored
Field Censored       10      215 Censored
Field Censored      111      214 Censored
Field Censored      233      213 Censored
Field Censored        1       39 Censored
Field Censored        1      168 Censored
Field   Failed        1      156 Cracked
Field   Failed        1      162 Wear
Field Censored        1      134 Censored
Field   Failed        1      158 Wear
Field   Failed        1      114 Wear
Field Censored        1       61 Censored
Field   Failed        1      146 Wear
Field Censored        1       28 Censored
Field Censored        1      151 Censored
Field Censored        1      212 Censored
Field Censored       19      206 Censored
Field Censored        1      203 Censored
Field Censored       77      202 Censored
Field Censored       22      201 Censored
Field Censored       17      200 Censored
Field Censored       31      199 Censored
Field Censored       50      198 Censored
Field Censored       15      197 Censored
Field Censored       21      195 Censored
Field Censored       11      194 Censored
Field Censored        5      193 Censored
Field Censored       39      192 Censored
Field Censored       17      191 Censored
Field Censored       12      188 Censored
Field Censored       12      187 Censored
Field Censored        4      186 Censored
Field Censored       44      185 Censored
Field Censored        1       49 Censored
Field Censored        1      122 Censored
Field Censored        1       90 Censored
Field   Failed        1       78 Wear
Field   Failed        1      101 Wear
Field Censored        1      119 Censored
Field Censored        1       75 Censored
Field   Failed        1       48 Cracked
Field   Failed        1      120 Cracked
Field Censored        1      127 Censored
Field   Failed        1      111 Wear
Field   Failed        1       29 Wear
Field Censored        1       81 Censored
Field Censored        1       57 Censored
Field Censored        1       85 Censored
Field Censored        1      128 Censored
Field Censored        1       98 Censored
Field   Failed        1      119 Cracked
Field Censored        1      115 Censored
Field   Failed        1       90 Cracked
Field Censored        1       83 Censored
Field Censored        1      111 Censored
Field   Failed        1      122 Wear
Field Censored        1       93 Censored
Field Censored        1       34 Censored
Field Censored        1       98 Censored
Field Censored        1       98 Censored
Field   Failed        1       35 Wear
Field Censored        1      119 Censored
Field   Failed        1       81 Cracked
Field Censored        1      106 Censored
Field Censored        1      142 Censored
Field Censored        1      130 Censored
Field   Failed        1       49 Cracked
Field Censored       33      181 Censored
Field Censored       13      180 Censored
Field Censored       18      179 Censored
Field Censored        2      178 Censored
Field Censored       11      177 Censored
Field Censored       10      174 Censored
Field Censored        7      170 Censored
Field Censored       11      166 Censored
Field Censored       64      165 Censored
Field Censored       62      164 Censored
Field Censored       22      160 Censored
Field Censored       74      159 Censored
Field Censored       12      158 Censored
Field Censored       98      124 Censored
Field   Failed        1       37 Cracked
Field Censored        1       76 Censored
Field Censored        1       85 Censored
Field Censored        7      151 Censored
Field Censored       22      150 Censored
Field Censored       40      145 Censored
Field Censored       30      144 Censored
Field Censored       38      143 Censored
Field Censored       21      142 Censored
Field Censored        2      141 Censored
Field Censored       15      139 Censored
Field Censored       16      138 Censored
Field Censored        4      137 Censored
Field Censored        5      136 Censored
Field Censored       64      134 Censored
Field Censored       55      132 Censored
Field Censored        1       82 Censored
Field Censored        1       82 Censored
Field   Failed        1       82 Wear
Field   Failed        1       73 Wear
Field Censored       42      115 Censored
Field Censored      193      114 Censored
Field Censored       53      112 Censored
Field Censored        5      110 Censored
Field Censored       61      109 Censored
Field Censored        9      108 Censored
Field Censored        3      103 Censored
Field Censored       61      102 Censored
Field Censored        1      101 Censored
Field Censored        5      100 Censored
Field Censored      120       97 Censored
Field Censored       53       96 Censored
Field Censored       15       95 Censored
Field Censored        2       94 Censored
Field Censored       20       92 Censored
Field Censored        3       91 Censored
Field Censored        3       89 Censored
Field Censored        6       88 Censored
Field Censored        3       87 Censored
Field Censored        2       86 Censored
Field Censored       56       83 Censored
Field Censored       12       82 Censored
Field Censored        1       81 Censored
Field Censored       49       80 Censored
Field Censored        1       79 Censored
Field Censored        1       76 Censored
Field Censored        2       68 Censored
Field Censored        2       67 Censored
Field Censored      169       65 Censored
Field Censored       21       62 Censored
Field Censored        2       61 Censored
Field Censored        4       60 Censored
Field Censored        1       59 Censored
Field Censored        1       58 Censored
Field Censored       47       53 Censored
Field Censored       50       52 Censored
Field Censored       93       51 Censored
Field Censored        1       46 Censored
Field Censored       38       45 Censored
Field Censored        1       44 Censored
Field Censored       11       41 Censored
Field Censored        3       39 Censored
Field Censored        9       38 Censored
Field Censored        2       37 Censored
Field Censored       15       36 Censored
Field Censored       60       34 Censored
Field Censored        8       33 Censored
Field Censored       23       32 Censored
Field Censored        3       31 Censored
Field Censored        1       30 Censored
Field Censored       23       27 Censored
Field Censored      119       26 Censored
Field Censored       19       25 Censored
Field Censored       11       24 Censored
Field Censored        4       23 Censored
Field Censored       19       19 Censored
Field Censored        2       18 Censored
Field Censored      118       17 Censored
Field Censored        2       16 Censored
Field Censored        8       13 Censored
Field Censored        3       11 Censored
Field Censored       38       10 Censored
Field Censored        8        6 Censored
Field Censored       38        5 Censored
Field Censored       16        4 Censored
Field Censored        1        3 Censored
Field Censored       19        2 Censored
WearTest Censored        2      397 Censored
WearTest   Failed        1       80 Wear
WearTest   Failed        1       69 Wear
WearTest   Failed        1      342 Wear
WearTest   Failed        1      260 Wear
WearTest   Failed        1      300 Wear
WearTest   Failed        1      149 Wear
WearTest   Failed        1       48 Wear
WearTest   Failed        1      174 Wear
CrackTest   Failed        1      240 Cracked
CrackTest   Failed        1      152 Cracked
CrackTest   Failed        1      110 Cracked
CrackTest   Failed        1      160 Cracked
CrackTest   Failed        1      229 Cracked
CrackTest   Failed        1      240 Cracked
CrackTest   Failed        1      112 Cracked
CrackTest   Failed        1      161 Cracked
CrackTest   Failed        1      240 Wear
CrackTest   Failed        1      108 Cracked
CrackTest   Failed        1      160 Cracked
CrackTest   Failed        1      236 Cracked
CrackTest   Failed        1      232 Cracked
CrackTest   Failed        1      240 Cracked
CrackTest   Failed        1      196 Cracked
CrackTest   Failed        1      228 Cracked
CrackTest   Failed        1      240 Cracked
CrackTest   Failed        1      160 Cracked
CrackTest   Failed        1      240 Cracked
CrackTest   Failed        1      232 Cracked
