Vehicle	Miles	Event
V4	22103	Fail
V4	22172	Fail
V4	22503	Fail
V4	23316	Fail
V4	23364	Fail
V4	23615	Fail
V4	23736	Fail
V4	23760	Fail
V4	24253	Fail
V4	24481	Fail
V4	24504	Fail
V4	24711	Fail
V4	24816	Fail
V4	24915	Fail
V4	24929	Fail
V4	25017	Fail
V4	25062	Fail
V4	26017	Fail
V4	26154	Fail
V4	26171	Fail
V4	26180	End
V5	0	Start
V5	4564	Fail
V5	5113	Fail
V5	5779	Fail
V5	5984	Fail
V5	6194	Fail
V5	6788	Fail
V5	7226	Fail
V5	9022	Fail
V5	9316	Fail
V5	10363	Fail
V5	10460	Fail
V5	11643	Fail
V5	12001	Fail
V5	12474	Fail
V5	12681	Fail
V5	12865	Fail
V5	14794	Fail
V5	15049	Fail
V5	15740	Fail
V5	15759	Fail
V5	17206	Fail
V5	17721	Fail
V5	18070	Fail
V5	18158	Fail
V5	18338	Fail
V5	18591	Fail
V5	18736	Fail
V5	18785	Fail
V5	18904	Fail
V5	18992	Fail
V5	19036	Fail
V5	19132	Fail
V5	19155	Fail
V5	19327	Fail
V5	19336	Fail
V5	19474	Fail
V5	19662	Fail
V5	20176	Fail
V5	20394	Fail
V5	20423	Fail
V5	20599	Fail
V5	20692	Fail
V5	20980	Fail
V5	20994	Fail
V5	21165	Fail
V5	21297	Fail
V5	21302	Fail
V5	21560	Fail
V5	21573	Fail
V5	21906	Fail
V5	22042	Fail
V5	22183	Fail
V5	22361	Fail
V5	22482	Fail
V5	22557	Fail
V5	22596	Fail
V5	22726	Fail
V5	23284	Fail
V5	23345	Fail
V5	23546	Fail
V5	24015	Fail
V5	24023	Fail
V5	24177	Fail
V5	24306	Fail
V5	24368	Fail
V5	24520	Fail
V5	24801	Fail
V5	24901	Fail
V5	25089	Fail
V5	25109	Fail
V5	25355	Fail
V5	25538	Fail
V5	25685	Fail
V5	25728	Fail
V5	25772	Fail
V5	25798	Fail
V5	25800	Fail
V5	25982	Fail
V5	26301	Fail
V5	26722	Fail
V5	26797	Fail
V5	26982	Fail
V5	27088	Fail
V5	27119	Fail
V5	27202	Fail
V5	27357	Fail
V5	27673	Fail
V5	27787	Fail
V5	27805	Fail
V5	27815	Fail
V5	27823	Fail
V5	27837	Fail
V5	27894	Fail
V5	28201	Fail
V5	28229	Fail
V5	28279	Fail
V5	28418	Fail
V5	28532	Fail
V5	28819	Fail
V5	28840	Fail
V5	28967	Fail
V5	29198	Fail
V5	29199	Fail
V5	29224	Fail
V5	29251	Fail
V5	29263	Fail
V5	29318	Fail
V5	29715	Fail
V5	29844	Fail
V5	29888	Fail
V5	29906	End
V6	0	Start
V6	3978	Fail
V6	5951	Fail
V6	6480	Fail
V6	7184	Fail
V6	7482	Fail
V6	7693	Fail
V6	8131	Fail
V6	8329	Fail
V6	9892	Fail
V6	10292	Fail
V6	11012	Fail
V6	11177	Fail
V6	11777	Fail
V6	12444	Fail
V6	13155	Fail
V6	13271	Fail
V6	13522	Fail
V6	13803	Fail
V6	14251	Fail
V6	14862	Fail
V6	15080	Fail
V6	15573	Fail
V6	15698	Fail
V6	15827	Fail
V6	15872	Fail
V6	15943	Fail
V6	15957	Fail
V6	16724	Fail
V6	17373	Fail
V6	17382	Fail
V6	17684	Fail
V6	18018	Fail
V6	18031	Fail
V6	18240	Fail
V6	18241	Fail
V6	18398	Fail
V6	18508	Fail
V6	18916	Fail
V6	18965	Fail
V6	19027	Fail
V6	19555	Fail
V6	19636	Fail
V6	19779	Fail
V6	19890	Fail
V6	20005	Fail
V6	20158	Fail
V6	20195	Fail
V6	20210	Fail
V6	20234	End
V7	0	Start
V7	3896	Fail
V7	4319	Fail
V7	4745	Fail
V7	5758	Fail
V7	6323	Fail
V7	7079	Fail
V7	7670	Fail
V7	8081	Fail
V7	9155	Fail
V7	9570	Fail
V7	11106	Fail
V7	12617	Fail
V7	13476	Fail
V7	13575	Fail
V7	13994	Fail
V7	14007	Fail
V7	14295	Fail
V7	14740	Fail
V7	14834	Fail
V7	15139	Fail
V7	15141	Fail
V7	15397	Fail
V7	15454	Fail
V7	15567	Fail
V7	15913	Fail
V7	16078	Fail
V7	16084	Fail
V7	16803	Fail
V7	16935	Fail
V7	16936	Fail
V7	17192	Fail
V7	17424	Fail
V7	17712	Fail
V7	17926	Fail
V7	18222	Fail
V7	18462	Fail
V7	18842	Fail
V7	18942	Fail
V7	18952	Fail
V7	19156	Fail
V7	19224	Fail
V7	19443	Fail
V7	19782	Fail
V7	19784	Fail
V7	19846	Fail
V7	19867	Fail
V7	20072	Fail
V7	20310	Fail
V7	20481	Fail
V7	20691	Fail
V7	20872	Fail
V7	21150	Fail
V7	21190	Fail
V7	21387	Fail
V7	22530	Fail
V7	22564	Fail
V7	22681	Fail
V7	22695	Fail
V7	22749	Fail
V7	22875	Fail
V7	23065	Fail
V7	23263	Fail
V7	23305	Fail
V7	23512	End
V8	0	Start
V8	4431	Fail
V8	4656	Fail
V8	5851	Fail
V8	8922	Fail
V8	9071	Fail
V8	11684	Fail
V8	12453	Fail
V8	12572	Fail
V8	12955	Fail
V8	13116	Fail
V8	13196	Fail
V8	13439	Fail
V8	13631	Fail
V8	14030	Fail
V8	14102	Fail
V8	14213	Fail
V8	14914	Fail
V8	15186	Fail
V8	15869	Fail
V8	16239	Fail
V8	16290	Fail
V8	16800	Fail
V8	17079	Fail
V8	17467	Fail
V8	17795	Fail
V8	18139	Fail
V8	18196	Fail
V8	18627	Fail
V8	18814	Fail
V8	19141	Fail
V8	19258	Fail
V8	19460	Fail
V8	20283	Fail
V8	20403	Fail
V8	20457	Fail
V8	20492	Fail
V8	20667	Fail
V8	20979	Fail
V8	20992	Fail
V8	21419	Fail
V8	21653	Fail
V8	21703	Fail
V8	21737	Fail
V8	21774	Fail
V8	21919	Fail
V8	22009	Fail
V8	22137	Fail
V8	22227	Fail
V8	22529	Fail
V8	22699	Fail
V8	22761	Fail
V8	22895	Fail
V8	22946	Fail
V8	23162	End
V9	0	Start
V9	7388	Fail
V9	10025	Fail
V9	10256	Fail
V9	10596	Fail
V9	11218	Fail
V9	12021	Fail
V9	12578	Fail
V9	12986	Fail
V9	13356	Fail
V9	14175	Fail
V9	15266	Fail
V9	15405	Fail
V9	15569	Fail
V9	15925	Fail
V9	16070	Fail
V9	16873	Fail
V9	17415	Fail
V9	17497	Fail
V9	17694	Fail
V9	17778	Fail
V9	17974	Fail
V9	18266	Fail
V9	18338	Fail
V9	18461	Fail
V9	18701	Fail
V9	19011	Fail
V9	19764	Fail
V9	20790	Fail
V9	21707	Fail
V9	22281	Fail
V9	22334	Fail
V9	22416	Fail
V9	22500	Fail
V9	22515	Fail
V9	22577	Fail
V9	22583	Fail
V9	23611	Fail
V9	23686	Fail
V9	24082	Fail
V9	24097	Fail
V9	24116	Fail
V9	24135	Fail
V9	24205	Fail
V9	24436	Fail
V9	24555	Fail
V9	24630	Fail
V9	24648	Fail
V9	24717	Fail
V9	25048	End
V10	0	Start
V10	5615	Fail
V10	5908	Fail
V10	6682	Fail
V10	9306	Fail
V10	10154	Fail
V10	11381	Fail
V10	11385	Fail
V10	11772	Fail
V10	12235	Fail
V10	12608	Fail
V10	14052	Fail
V10	14323	Fail
V10	14409	Fail
V10	14747	Fail
V10	15436	Fail
V10	15594	Fail
V10	15624	Fail
V10	15705	Fail
V10	15728	Fail
V10	16246	Fail
V10	16565	Fail
V10	16597	Fail
V10	16910	Fail
V10	17519	Fail
V10	17523	Fail
V10	18291	Fail
V10	18369	Fail
V10	19201	Fail
V10	19283	Fail
V10	19301	Fail
V10	19370	Fail
V10	19497	Fail
V10	19751	Fail
V10	19904	Fail
V10	19978	Fail
V10	20500	Fail
V10	20629	Fail
V10	21077	Fail
V10	21179	Fail
V10	21315	Fail
V10	21406	Fail
V10	21606	Fail
V10	21683	Fail
V10	21894	Fail
V10	22112	Fail
V10	22253	Fail
V10	22438	Fail
V10	22700	Fail
V10	22898	Fail
V10	23047	Fail
V10	23124	Fail
V10	23393	Fail
V10	23469	Fail
V10	23582	Fail
V10	23600	Fail
V10	23670	Fail
V10	23842	Fail
V10	24698	Fail
V10	24923	Fail
V10	25003	Fail
V10	25032	Fail
V10	25045	Fail
V10	25109	Fail
V10	25429	Fail
V10	25636	Fail
V10	25703	Fail
V10	25706	Fail
V10	25736	Fail
V10	25745	Fail
V10	25977	Fail
V10	26031	Fail
V10	26095	Fail
V10	26150	Fail
V10	26182	Fail
V10	26360	End
