SPEC	DOSAGE	DAMAGE
G11OUT-8	3979.37	-0.213
G11OUT-8	4700.37	-0.243
G11OUT-8	5234.52	-0.284
G11OUT-8	5640.53	-0.325
G11OUT-8	5942.04	-0.343
G11OUT-8	6049.72	-0.341
G12-8	393.04	-0.013
G12-8	836.77	-0.034
G12-8	2341.43	-0.101
G12-8	2799.11	-0.182
G12-8	3777.51	-0.232
G12-8	4490.9	-0.282
G12-8	5031.89	-0.323
G12-8	5434.57	-0.347
G12-8	5574.08	-0.362
G12-8	5832.79	-0.383
G12-8	6475.36	-0.414
G12-8	6583.66	-0.422
G13-11	689.86	-0.03
G13-11	1207.46	-0.07
G13-11	1386.46	-0.109
G13-11	1718.21	-0.146
G13-11	2545.67	-0.178
G13-11	2685.65	-0.2
G13-11	3125.54	-0.205
G13-11	4016.02	-0.223
G13-11	4361.11	-0.243
G13-11	4886.7	-0.264
G13-11	5297.98	-0.286
G15OUT-9	155.25	-0.006
G15OUT-9	609.91	-0.018
G15OUT-9	899.75	-0.028
G15OUT-9	1246.21	-0.039
G15OUT-9	1297.9	-0.051
G15OUT-9	1626.61	-0.064
G15OUT-9	1833.85	-0.071
G15OUT-9	2027.53	-0.077
G15OUT-9	2255.94	-0.106
G15OUT-9	2807.81	-0.136
G15OUT-9	3143.1	-0.143
G15OUT-9	3432.35	-0.15
G15OUT-9	4019.05	-0.157
G15OUT-9	4377.21	-0.166
G15OUT-9	4745.3	-0.181
G15OUT-9	5335.83	-0.206
G15OUT-9	5737.46	-0.228
G15OUT-9	6080.93	-0.243
G15OUT-9	6307.05	-0.251
G15OUT-9	6912.49	-0.268
G15OUT-9	7224.8	-0.287
G15OUT-9	7949.8	-0.336
G17-10	417.28	-0.009
G17-10	1091.85	-0.034
G17-10	1650.72	-0.07
G17-10	2034.7	-0.099
G17-10	2197.08	-0.121
G17-10	3379.26	-0.173
G17-10	4007.58	-0.23
G17-10	4404.68	-0.259
G17-10	4845.65	-0.282
G17-10	5188.38	-0.302
G17-10	5642.61	-0.319
G17-10	5962.75	-0.333
G17-10	6350.38	-0.352
G17-10	6658.86	-0.376
G17-10	7411.15	-0.396
G17-10	7669.68	-0.407
G17-10	7874.99	-0.409
G17-10	7961.16	-0.415
G17-10	8226.27	-0.43
G17-10	8597.75	-0.452
G17-10	8790.15	-0.471
G17-10	8961.29	-0.491
G17-10	9198.47	-0.521
G17-10	9743.97	-0.58
G17-10	9945.5	-0.639
G1-8	441.25	0
G1-8	1013.32	-0.014
G1-8	4660.22	-0.115
G1-8	5229.74	-0.215
G1-8	5479.43	-0.239
G1-8	6491.18	-0.264
G1-8	7201.11	-0.289
G1-8	7614.31	-0.309
G1-8	8207.27	-0.321
G1-8	10717.94	-0.355
G1-8	11167.59	-0.388
G1-8	11737.09	-0.395
G1-8	12094.54	-0.405
G1-8	12614.44	-0.41
G1-8	12813.02	-0.409
G1-8	13033.33	-0.414
G1-8	13298.51	-0.418
G1-8	13645.88	-0.42
G1-8	13940.52	-0.431
G1-8	14399.44	-0.448
G1-8	14569.6	-0.462
G1-8	14973.32	-0.471
G1-8	15257.95	-0.478
G1-8	15441.9	-0.481
G1-8	15601.05	-0.493
G1-8	15714.14	-0.516
G1-8	15958.31	-0.529
G1-8	16132.69	-0.533
G1-9	929.01	0
G1-9	2138.8	-0.012
G1-9	10159.61	-0.111
G1-9	11443.4	-0.212
G1-9	12010.71	-0.237
G1-9	14309.15	-0.265
G1-9	15936.89	-0.289
G1-9	16886.79	-0.309
G1-9	18248.98	-0.324
G1-9	24045.15	-0.36
G1-9	25095.41	-0.393
G1-9	26437.98	-0.4
G1-9	27284.16	-0.408
G1-9	28504.65	-0.414
G1-9	28966.15	-0.413
G1-9	29483.86	-0.411
G1-9	30115.82	-0.415
G1-9	30947.68	-0.422
G1-9	31652.19	-0.428
G1-9	32748.29	-0.437
G1-9	33154.34	-0.441
G1-9	34109.47	-0.448
G1-9	34781.28	-0.457
G1-9	35216.7	-0.461
G1-9	35593.84	-0.472
G1-9	35860.82	-0.494
G1-9	36434.82	-0.511
G1-9	36845.99	-0.516
