Engine	Days	Count	Event
844	1681	0	End
813	1685	1	Replacement
842	1688	0	End
830	1688	0	End
840	1688	0	End
843	1688	0	End
831	1689	0	End
837	1689	0	End
836	1689	0	End
839	1689	0	End
835	1693	0	End
827	1694	0	End
833	1695	0	End
828	1695	0	End
824	1696	0	End
832	1696	0	End
834	1696	0	End
806	1696	0	End
826	1701	0	End
814	1701	0	End
816	1701	0	End
811	1701	0	End
817	1702	0	End
809	1702	0	End
819	1702	0	End
821	1702	0	End
825	1703	0	End
815	1703	0	End
823	1703	0	End
818	1704	0	End
813	1704	0	End
820	1704	0	End
822	1704	0	End
808	1719	0	End
812	1719	0	End
810	1719	0	End
807	1719	0	End
