Increase	Unit	Hours
6.0449	105.0000	3250.0000
6.3167	105.0000	3500.0000
7.0952	105.0000	3750.0000
7.5941	105.0000	4000.0000
0.0000	106.0000	0.0000
0.3584	106.0000	250.0000
1.3922	106.0000	500.0000
1.9541	106.0000	750.0000
2.8617	106.0000	1000.0000
3.4552	106.0000	1250.0000
3.8117	106.0000	1500.0000
4.5330	106.0000	1750.0000
5.3541	106.0000	2000.0000
5.9217	106.0000	2250.0000
6.7078	106.0000	2500.0000
7.7027	106.0000	2750.0000
8.6053	106.0000	3000.0000
9.1477	106.0000	3250.0000
9.9510	106.0000	3500.0000
10.4857	106.0000	3750.0000
11.0096	106.0000	4000.0000
0.0000	107.0000	0.0000
0.3637	107.0000	250.0000
0.9237	107.0000	500.0000
1.2098	107.0000	750.0000
1.4591	107.0000	1000.0000
1.9323	107.0000	1250.0000
2.3862	107.0000	1500.0000
2.6799	107.0000	1750.0000
2.9397	107.0000	2000.0000
3.4183	107.0000	2250.0000
4.0857	107.0000	2500.0000
4.5843	107.0000	2750.0000
4.8402	107.0000	3000.0000
5.1145	107.0000	3250.0000
5.5691	107.0000	3500.0000
6.1140	107.0000	3750.0000
7.1723	107.0000	4000.0000
0.0000	108.0000	0.0000
0.4580	108.0000	250.0000
1.0678	108.0000	500.0000
1.4163	108.0000	750.0000
1.7659	108.0000	1000.0000
2.1061	108.0000	1250.0000
2.3969	108.0000	1500.0000
2.7800	108.0000	1750.0000
3.0187	108.0000	2000.0000
3.2890	108.0000	2250.0000
3.7542	108.0000	2500.0000
4.1595	108.0000	2750.0000
4.7575	108.0000	3000.0000
5.1597	108.0000	3250.0000
5.4591	108.0000	3500.0000
5.8085	108.0000	3750.0000
6.2450	108.0000	4000.0000
0.0000	109.0000	0.0000
0.5098	109.0000	250.0000
0.9308	109.0000	500.0000
1.5713	109.0000	750.0000
1.9576	109.0000	1000.0000
2.5871	109.0000	1250.0000
3.2892	109.0000	1500.0000
3.6075	109.0000	1750.0000
4.1148	109.0000	2000.0000
4.5964	109.0000	2250.0000
4.9130	109.0000	2500.0000
5.3408	109.0000	2750.0000
5.8418	109.0000	3000.0000
6.3961	109.0000	3250.0000
6.8441	109.0000	3500.0000
7.2037	109.0000	3750.0000
7.8848	109.0000	4000.0000
0.0000	110.0000	0.0000
0.4136	110.0000	250.0000
1.4880	110.0000	500.0000
2.3810	110.0000	750.0000
2.9950	110.0000	1000.0000
3.8350	110.0000	1250.0000
4.5010	110.0000	1500.0000
5.2510	110.0000	1750.0000
6.2560	110.0000	2000.0000
7.0510	110.0000	2250.0000
7.8030	110.0000	2500.0000
8.3210	110.0000	2750.0000
8.9300	110.0000	3000.0000
9.5540	110.0000	3250.0000
10.4500	110.0000	3500.0000
11.2800	110.0000	3750.0000
12.2100	110.0000	4000.0000
0.0000	111.0000	0.0000
0.4435	111.0000	250.0000
0.9978	111.0000	500.0000
1.5738	111.0000	750.0000
1.9584	111.0000	1000.0000
2.5093	111.0000	1250.0000
2.8436	111.0000	1500.0000
3.4682	111.0000	1750.0000
4.0070	111.0000	2000.0000
4.5124	111.0000	2250.0000
4.8018	111.0000	2500.0000
5.2042	111.0000	2750.0000
5.6556	111.0000	3000.0000
6.1951	111.0000	3250.0000
6.5405	111.0000	3500.0000
6.9626	111.0000	3750.0000
7.4238	111.0000	4000.0000
0.0000	112.0000	0.0000
0.3864	112.0000	250.0000
0.7988	112.0000	500.0000
1.3521	112.0000	750.0000
1.7410	112.0000	1000.0000
2.9790	112.0000	1250.0000
3.5871	112.0000	1500.0000
4.0315	112.0000	1750.0000
4.4393	112.0000	2000.0000
4.7906	112.0000	2250.0000
5.2205	112.0000	2500.0000
5.4848	112.0000	2750.0000
5.9639	112.0000	3000.0000
6.2276	112.0000	3250.0000
6.9877	112.0000	3500.0000
7.3671	112.0000	3750.0000
7.8841	112.0000	4000.0000
0.0000	113.0000	0.0000
0.3034	113.0000	250.0000
0.7448	113.0000	500.0000
1.5225	113.0000	750.0000
1.8548	113.0000	1000.0000
2.3897	113.0000	1250.0000
2.9473	113.0000	1500.0000
3.5104	113.0000	1750.0000
3.9207	113.0000	2000.0000
5.0316	113.0000	2250.0000
5.4708	113.0000	2500.0000
5.8362	113.0000	2750.0000
6.4962	113.0000	3000.0000
6.9372	113.0000	3250.0000
7.3883	113.0000	3500.0000
7.8472	113.0000	3750.0000
8.0870	113.0000	4000.0000
0.0000	114.0000	0.0000
0.4380	114.0000	250.0000
0.6979	114.0000	500.0000
1.0515	114.0000	750.0000
1.3526	114.0000	1000.0000
1.7998	114.0000	1250.0000
2.5514	114.0000	1500.0000
2.8274	114.0000	1750.0000
3.3908	114.0000	2000.0000
3.7159	114.0000	2250.0000
4.0906	114.0000	2500.0000
4.8296	114.0000	2750.0000
5.4145	114.0000	3000.0000
5.7590	114.0000	3250.0000
6.1419	114.0000	3500.0000
6.5086	114.0000	3750.0000
6.8823	114.0000	4000.0000
0.0000	115.0000	0.0000
0.5056	115.0000	250.0000
0.8349	115.0000	500.0000
1.2864	115.0000	750.0000
1.5191	115.0000	1000.0000
1.9148	115.0000	1250.0000
2.2697	115.0000	1500.0000
2.7763	115.0000	1750.0000
3.4153	115.0000	2000.0000
3.7814	115.0000	2250.0000
4.1053	115.0000	2500.0000
4.3754	115.0000	2750.0000
4.6295	115.0000	3000.0000
5.3831	115.0000	3250.0000
5.8391	115.0000	3500.0000
6.1618	115.0000	3750.0000
6.6247	115.0000	4000.0000

