Weeks CauseOfFailure.FM1 CauseOfFailure.FM2 CauseOfFailure.FM3 CauseOfFailure.FMOther WeeksInserted WeeksReturned
60.59721943 0 0 0 0 9.402780572 NA
51.34997671 0 0 0 0 18.65002329 NA
21.70123029 0 0 0 0 48.29876971 NA
46.59821994 0 1 0 0 10.52440696 57.1226269
64.99360836 0 0 0 0 5.006391637 NA
44.42065752 0 0 0 0 25.57934248 NA
59.01237389 0 0 0 0 10.98762611 NA
49.93480784 0 0 0 0 20.06519216 NA
20.29975129 0 0 0 0 49.70024871 NA
52.63694911 0 0 0 0 17.36305089 NA
35.22002504 0 0 0 0 34.77997496 NA
14.23709473 0 0 1 0 28.61012558 42.84722031
29.19556717 0 0 0 0 40.80443283 NA
62.85382356 0 0 0 0 7.14617644 NA
20.22189422 0 0 0 0 49.77810578 NA
48.42479047 0 0 0 0 21.57520953 NA
64.49689023 0 0 0 0 5.503109773 NA
22.1117527 0 0 0 0 47.8882473 NA
39.54404014 0 0 0 0 30.45595986 NA
31.30700917 0 0 0 0 38.69299083 NA
33.80151643 0 0 0 0 36.19848357 NA
23.30361461 0 0 0 0 46.69638539 NA
24.85140025 0 0 0 0 45.14859975 NA
35.189299 0 0 0 0 34.810701 NA
59.7343785 0 0 0 0 10.2656215 NA
34.54820245 0 0 0 0 35.45179755 NA
52.43317681 0 0 0 0 17.56682319 NA
42.36178326 0 0 0 0 27.63821674 NA
34.75110437 0 0 0 0 35.24889563 NA
50.38108471 0 0 0 0 19.61891529 NA
31.18547136 0 0 0 0 38.81452864 NA
44.06859159 0 0 0 0 25.93140841 NA
53.53376582 0 0 0 0 16.46623418 NA
25.86450567 0 0 0 0 44.13549433 NA
33.60608438 0 0 0 0 36.39391562 NA
61.2936191 0 0 0 0 8.706380904 NA
56.34976217 0 0 0 0 13.65023783 NA
61.80181188 0 0 0 0 8.198188117 NA
60.68971516 0 0 0 0 9.310284839 NA
12.76048936 0 1 0 0 15.16931107 27.92980043
47.395061 0 0 0 0 22.604939 NA
36.89242988 0 0 0 0 33.10757012 NA
24.26541963 0 0 0 0 45.73458037 NA
27.42827539 0 0 0 0 42.57172461 NA
55.83127164 0 0 0 0 14.16872836 NA
31.86380775 0 0 0 0 38.13619225 NA
32.40272752 0 0 0 0 37.59727248 NA
63.3458517 0 0 0 0 6.654148304 NA
60.68123274 0 0 0 0 9.318767255 NA
13.59211762 0 0 0 1 32.22619222 45.81830984
44.53001433 0 0 0 0 25.46998567 NA
27.1025252 0 0 0 0 42.8974748 NA
36.17521212 0 0 0 0 33.82478788 NA
24.67453033 0 0 0 0 45.32546967 NA
8.838625258 0 0 1 0 0.625776802 9.46440206
57.71762791 0 0 0 0 12.28237209 NA
27.85496798 0 1 0 0 1.915664691 29.77063267
55.49368284 0 0 0 0 14.50631716 NA
61.4094398 0 0 0 0 8.590560197 NA
33.89641503 0 0 0 0 36.10358497 NA
20.51169016 0 0 0 0 49.48830984 NA
52.40746156 0 0 0 0 17.59253844 NA
52.87677122 0 0 0 0 17.12322878 NA
67.00540564 0 0 0 0 2.994594362 NA
46.82978385 0 0 0 0 23.17021615 NA
33.97377814 0 0 0 0 36.02622186 NA
51.35569991 0 0 0 0 18.64430009 NA
45.43478375 0 1 0 0 2.337153244 47.77193699
45.63558584 0 0 0 0 24.36441416 NA
22.73660282 0 0 0 0 47.26339718 NA
26.03044054 0 0 0 0 43.96955946 NA
26.30983678 0 0 0 0 43.69016322 NA
21.79468766 0 0 0 0 48.20531234 NA
42.98621315 0 0 0 0 27.01378685 NA
46.44768372 0 0 0 0 23.55231628 NA
46.77547511 0 0 0 0 23.22452489 NA
46.7199092 0 0 0 0 23.2800908 NA
32.8249228 1 0 0 0 17.17880843 50.00373124
65.82143585 0 0 0 0 4.178564146 NA
65.43783575 0 0 0 0 4.562164249 NA
54.10270734 0 0 0 0 15.89729266 NA
51.82151178 0 0 0 0 18.17848822 NA
29.96557383 0 0 0 0 40.03442617 NA
32.4970155 0 0 0 0 37.5029845 NA
53.08649879 0 1 0 0 7.173848897 60.26034769
24.3288699 0 0 0 0 45.6711301 NA
47.44388917 0 0 0 0 22.55611083 NA
29.93707927 0 0 0 0 40.06292073 NA
42.31393432 0 0 0 0 27.68606568 NA
36.93597252 0 0 0 0 33.06402748 NA
20.62670708 0 0 0 0 49.37329292 NA
48.3405075 0 0 0 0 21.6594925 NA
60.85252485 0 0 0 0 9.147475148 NA
42.33036425 0 0 0 0 27.66963575 NA
46.14968922 0 0 0 0 23.85031078 NA
1.242302199 0 1 0 0 20.01822223 21.26052443
33.06074136 0 0 0 0 36.93925864 NA
22.71878423 0 0 0 0 47.28121577 NA
28.1335879 0 0 0 0 41.8664121 NA
21.62864886 0 0 0 0 48.37135114 NA
20.96533499 0 0 0 0 49.03466501 NA
33.21737206 0 0 0 0 36.78262794 NA
65.67790488 0 0 0 0 4.322095122 NA
57.68312174 0 0 0 0 12.31687826 NA
50.55127668 0 0 0 0 19.44872332 NA
54.69852696 0 0 0 0 15.30147304 NA
53.29309078 0 0 0 0 16.70690922 NA
58.41195967 0 0 0 0 11.58804033 NA
69.4667045 0 0 0 0 0.533295504 NA
51.84196619 0 1 0 0 13.54379595 65.38576214
21.38879718 0 0 0 0 48.61120282 NA
69.56540328 0 0 0 0 0.43459672 NA
22.95952075 0 0 0 0 47.04047925 NA
24.99306616 0 0 0 0 45.00693384 NA
39.96631122 0 0 0 0 30.03368878 NA
43.41452582 0 0 0 0 26.58547418 NA
0.282513483 0 0 1 0 26.8322516 27.11476508
36.36249032 0 0 0 0 33.63750968 NA
43.62559123 0 1 0 0 15.60807802 59.23366925
63.68968245 0 0 0 0 6.310317549 NA
48.37510178 0 0 0 0 21.62489822 NA
64.97080814 0 0 0 0 5.029191857 NA
22.70811151 0 0 0 0 47.29188849 NA
28.53106998 0 1 0 0 33.93367063 62.46474062
44.32221113 0 0 0 0 25.67778887 NA
59.5587781 0 0 0 0 10.4412219 NA
52.41212143 0 0 0 0 17.58787857 NA
34.35015219 0 0 0 0 35.64984781 NA
47.99846146 0 0 0 0 22.00153854 NA
38.81421994 0 0 0 0 31.18578006 NA
37.50256328 0 0 0 0 32.49743672 NA
42.87843714 0 0 0 0 27.12156286 NA
28.33916374 0 0 0 0 41.66083626 NA
58.81108225 0 0 0 0 11.18891775 NA
37.65511053 0 0 0 0 32.34488947 NA
24.39385525 0 0 0 0 45.60614475 NA
44.51977076 0 1 0 0 19.93255139 64.45232215
65.34174422 0 0 0 0 4.658255784 NA
62.76239816 0 0 0 0 7.237601839 NA
38.74750168 0 0 0 0 31.25249832 NA
22.80547834 0 0 0 0 47.19452166 NA
35.90892808 0 0 0 0 34.09107192 NA
41.56532407 0 0 0 0 28.43467593 NA
68.95396193 0 0 0 0 1.04603807 NA
64.16704956 0 0 0 0 5.832950445 NA
34.70142343 0 0 0 0 35.29857657 NA
57.13455403 0 0 0 0 12.86544597 NA
27.23886432 0 0 0 0 42.76113568 NA
64.70629741 0 0 0 0 5.29370259 NA
25.71072522 0 0 0 0 44.28927478 NA
23.35219692 0 0 0 0 46.64780308 NA
39.7541402 0 0 0 0 30.2458598 NA
18.70947889 0 1 0 0 19.45490842 38.16438731
25.70158191 0 0 0 0 44.29841809 NA
44.29314394 0 0 0 0 25.70685606 NA
63.98313374 0 0 0 0 6.016866257 NA
51.75449447 0 0 0 0 18.24550553 NA
20.07307533 0 0 0 0 49.92692467 NA
43.6800695 0 0 0 0 26.3199305 NA
29.55130897 0 0 0 0 40.44869103 NA
20.95618167 0 0 0 0 49.04381833 NA
62.67318926 0 0 0 0 7.326810737 NA
48.33312426 0 0 0 0 21.66687574 NA
35.71948595 0 0 0 0 34.28051405 NA
47.04301281 0 0 0 0 22.95698719 NA
0.052213688 0 0 1 0 4.41551049 4.467724178
63.29350824 0 0 0 0 6.706491765 NA
60.92014838 0 0 0 0 9.079851618 NA
64.00150569 0 0 0 0 5.998494313 NA
45.95791965 0 0 0 0 24.04208035 NA
29.26252621 0 0 0 0 40.73747379 NA
55.33211723 0 0 0 0 14.66788277 NA
52.3265065 0 0 0 0 17.6734935 NA
55.67114084 0 0 0 0 14.32885916 NA
60.84883388 0 0 0 0 9.151166119 NA
28.54183405 0 0 0 0 41.45816595 NA
45.76794088 0 0 0 0 24.23205912 NA
42.65038356 0 0 0 0 27.34961644 NA
48.50640961 0 0 0 0 21.49359039 NA
40.07812317 0 0 0 0 29.92187683 NA
39.32634456 0 0 0 0 30.67365544 NA
29.19880669 0 0 0 0 40.80119331 NA
35.71293999 0 0 0 0 34.28706001 NA
67.83747916 0 0 0 0 2.162520844 NA
44.93339349 0 0 0 0 25.06660651 NA
20.51723431 0 0 1 0 15.86427031 36.38150462
47.56325422 0 0 0 0 22.43674578 NA
58.77730438 0 0 0 0 11.22269562 NA
27.1429635 0 0 0 0 42.8570365 NA
27.15622414 0 0 0 0 42.84377586 NA
29.43001462 0 0 0 0 40.56998538 NA
67.71015593 0 0 0 0 2.289844071 NA
44.57219347 0 0 0 0 25.42780653 NA
61.96687496 0 0 0 0 8.033125044 NA
54.96645938 0 0 0 0 15.03354062 NA
47.23055462 0 0 0 0 22.76944538 NA
60.85849128 0 0 0 0 9.141508723 NA
1.088382628 0 1 0 0 0.774137944 1.862520571
31.79001752 0 0 0 0 38.20998248 NA
51.6700505 0 0 0 0 18.3299495 NA
52.19158594 0 0 0 0 17.80841406 NA
47.09607042 0 0 0 0 22.90392958 NA
46.90676916 0 0 0 0 23.09323084 NA
49.25902876 0 0 0 0 20.74097124 NA
41.75725924 0 0 0 0 28.24274076 NA
67.09095996 0 0 0 0 2.909040044 NA
24.45154302 0 0 0 0 45.54845698 NA
20.06354982 0 0 0 0 49.93645018 NA
38.91622772 0 0 0 0 31.08377228 NA
56.05825333 0 0 0 0 13.94174667 NA
26.29132919 0 0 0 0 43.70867081 NA
64.7243558 0 0 0 0 5.275644199 NA
28.89012519 0 0 0 0 41.10987481 NA
61.40975408 0 0 0 0 8.590245922 NA
44.47885836 0 0 0 0 25.52114164 NA
59.51409194 0 0 0 0 10.48590806 NA
43.34369104 0 0 0 0 26.65630896 NA
57.90273863 0 0 0 0 12.09726137 NA
0.262685476 0 0 1 0 27.72318234 27.98586782
3.47128622 0 1 0 0 47.92977769 51.40106391
47.31747755 0 0 0 0 22.68252245 NA
20.904365 0 0 0 0 49.095635 NA
44.75174357 0 0 0 0 25.24825643 NA
44.6172465 0 0 0 0 25.3827535 NA
0.106484963 0 0 1 0 7.608460495 7.714945459
22.36635852 0 0 0 0 47.63364148 NA
30.22179288 0 0 0 1 9.68916053 39.91095341
38.81915292 0 0 0 0 31.18084708 NA
67.88402057 0 0 0 0 2.11597943 NA
60.30195501 0 0 0 0 9.698044986 NA
38.24735835 0 0 0 0 31.75264165 NA
22.12614901 0 0 0 0 47.87385099 NA
34.05259214 0 0 0 0 35.94740786 NA
21.69885193 0 0 0 0 48.30114807 NA
23.41870486 0 0 0 0 46.58129514 NA
40.18115763 0 0 0 0 29.81884237 NA
56.16151818 0 0 0 0 13.83848182 NA
21.52110811 0 0 0 0 48.47889189 NA
47.67616853 0 0 0 0 22.32383147 NA
65.79322521 0 0 0 0 4.206774791 NA
62.54696128 0 0 0 0 7.453038718 NA
44.85700576 0 0 0 0 25.14299424 NA
22.60516704 0 0 0 0 47.39483296 NA
32.61234441 0 0 0 0 37.38765559 NA
40.43430583 0 0 0 0 29.56569417 NA
69.22401885 0 0 0 0 0.775981147 NA
27.4300315 0 0 0 0 42.5699685 NA
43.74684064 0 0 0 0 26.25315936 NA
43.2959872 0 0 0 0 26.7040128 NA
29.99765869 0 0 0 0 40.00234131 NA
45.86715444 0 0 0 0 24.13284556 NA
68.48457096 0 0 0 0 1.515429036 NA
34.20613364 0 0 0 0 35.79386636 NA
64.09538278 0 0 0 0 5.904617219 NA
3.776570152 0 0 0 1 29.32883651 33.10540666
24.89528156 0 0 0 0 45.10471844 NA
40.45788316 0 0 0 0 29.54211684 NA
27.47261522 0 0 0 0 42.52738478 NA
46.27479793 0 0 0 0 23.72520207 NA
3.77330429 0 1 0 0 47.28126116 51.05456545
46.11559546 0 0 0 0 23.88440454 NA
43.31514078 0 0 0 0 26.68485922 NA
62.81383365 0 0 0 0 7.186166348 NA
52.74125559 0 0 0 0 17.25874441 NA
33.53332278 0 0 0 0 36.46667722 NA
32.42115023 0 0 0 0 37.57884977 NA
28.99672502 0 0 0 0 41.00327498 NA
28.28484731 0 0 0 0 41.71515269 NA
43.18017137 0 0 0 0 26.81982863 NA
43.38594322 0 0 0 0 26.61405678 NA
0.098737029 0 1 0 0 22.17122954 22.26996657
44.01846473 0 0 0 0 25.98153527 NA
56.78335689 0 0 0 0 13.21664311 NA
45.55889193 0 0 0 0 24.44110807 NA
37.06480478 0 0 0 0 32.93519522 NA
31.29531951 0 0 0 0 38.70468049 NA
23.98421931 0 0 0 0 46.01578069 NA
21.63609392 0 0 0 0 48.36390608 NA
48.27288078 0 0 0 0 21.72711922 NA
53.1588841 0 0 0 0 16.8411159 NA
20.14075065 0 1 0 0 30.30921411 50.44996476
51.48558893 0 0 0 0 18.51441107 NA
49.15621425 0 0 0 0 20.84378575 NA
52.15445738 0 0 0 0 17.84554262 NA
38.43801497 0 0 0 0 31.56198503 NA
0.241833537 0 0 1 0 4.304053355 4.545886892
44.27073534 0 0 0 0 25.72926466 NA
22.08352584 0 0 0 0 47.91647416 NA
35.12286505 0 0 0 0 34.87713495 NA
40.99364074 0 0 0 0 29.00635926 NA
48.92735378 0 0 0 0 21.07264622 NA
27.29499297 0 0 0 0 42.70500703 NA
27.29593127 0 0 0 0 42.70406873 NA
22.39345037 0 0 0 0 47.60654963 NA
55.71507735 1 0 0 0 4.453532293 60.16860964
60.74098207 0 1 0 0 6.919718708 67.66070078
64.63908058 0 0 0 0 5.360919423 NA
64.8372684 0 0 0 0 5.162731605 NA
20.72810906 0 0 0 0 49.27189094 NA
31.55753876 0 0 0 0 38.44246124 NA
37.14279113 0 0 0 0 32.85720887 NA
64.01052784 0 0 0 0 5.989472161 NA
24.66333623 0 1 0 0 31.94907604 56.61241228
66.97360547 0 0 0 0 3.026394534 NA
60.91227393 0 0 0 0 9.087726066 NA
21.39303176 0 0 0 0 48.60696824 NA
52.18414178 0 0 0 0 17.81585822 NA
26.84752841 0 0 0 0 43.15247159 NA
52.89297806 0 0 0 0 17.10702194 NA
27.93721854 0 0 0 0 42.06278146 NA
34.46078465 0 0 0 0 35.53921535 NA
69.04622744 0 0 0 0 0.953772559 NA
60.64975673 0 0 0 0 9.350243269 NA
33.88308593 0 0 0 0 36.11691407 NA
35.35461607 0 0 0 0 34.64538393 NA
41.00093475 0 0 0 0 28.99906525 NA
42.88769883 0 0 0 0 27.11230117 NA
62.20339723 0 0 0 0 7.796602766 NA
25.32332234 0 0 0 0 44.67667766 NA
50.25518061 0 0 0 0 19.74481939 NA
28.6448715 0 0 0 0 41.3551285 NA
37.97318092 0 0 0 0 32.02681908 NA
36.20917349 0 0 0 0 33.79082651 NA
37.1022813 0 0 0 0 32.8977187 NA
69.93372089 0 0 0 0 0.066279108 NA
22.98379933 0 0 0 0 47.01620067 NA
24.97541843 0 1 0 0 41.2915039 66.26692233
46.15579266 0 1 0 0 3.878547077 50.03433974
44.96145314 0 0 0 0 25.03854686 NA
65.97759307 0 0 0 0 4.022406926 NA
50.10145992 0 0 0 0 19.89854008 NA
64.66203393 0 0 0 0 5.337966071 NA
38.04387753 0 0 0 0 31.95612247 NA
48.33993275 0 0 0 0 21.66006725 NA
26.07853746 0 0 0 0 43.92146254 NA
40.83720836 0 0 0 0 29.16279164 NA
62.52623742 0 0 0 0 7.473762578 NA
31.72846507 0 0 0 0 38.27153493 NA
54.66998349 0 0 0 0 15.33001651 NA
32.1140379 0 0 0 0 37.8859621 NA
24.8312605 0 0 0 0 45.1687395 NA
35.47381283 0 0 0 0 34.52618717 NA
66.98828204 0 0 0 0 3.011717962 NA
29.49621474 0 0 0 0 40.50378526 NA
32.48622636 0 0 0 0 37.51377364 NA
59.54175666 0 0 0 0 10.45824334 NA
40.07896563 0 0 0 0 29.92103437 NA
20.79132153 0 1 0 0 33.69839259 54.48971412
34.70846108 0 0 0 0 35.29153892 NA
32.9189283 0 0 0 0 37.0810717 NA
49.90963861 0 0 0 0 20.09036139 NA
41.88402766 0 0 0 0 28.11597234 NA
67.72859134 0 0 0 0 2.271408658 NA
17.03013286 0 1 0 0 11.86638789 28.89652074
42.84738504 0 0 0 0 27.15261496 NA
69.96709289 0 0 0 0 0.032907107 NA
33.90507258 0 0 0 0 36.09492742 NA
60.66902607 0 0 0 0 9.330973926 NA
34.51467642 0 0 0 0 35.48532358 NA
58.50584035 0 0 0 0 11.49415965 NA
64.83784946 0 0 0 0 5.162150541 NA
28.20772389 0 0 0 0 41.79227611 NA
36.55429282 0 0 0 0 33.44570718 NA
23.45522279 0 0 0 0 46.54477721 NA
36.4533437 0 0 0 0 33.5466563 NA
67.64981648 0 0 0 0 2.350183518 NA
8.284713119 0 1 0 0 48.43992174 56.72463486
24.92618181 0 0 0 0 45.07381819 NA
44.01118626 0 1 0 0 1.65472657 45.66591283
54.40793373 0 0 0 0 15.59206627 NA
43.61513269 0 0 0 0 26.38486731 NA
54.03397424 0 0 0 0 15.96602576 NA
63.43280344 0 0 0 0 6.56719656 NA
44.04891779 0 0 0 0 25.95108221 NA
11.13708013 0 1 0 0 1.507061336 12.64414147
32.484712 0 0 0 0 37.515288 NA
57.87707592 0 0 0 0 12.12292408 NA
62.71558627 0 0 0 0 7.284413732 NA
26.06435344 0 0 0 0 43.93564656 NA
63.66930076 0 0 0 0 6.330699241 NA
52.36648336 0 0 0 0 17.63351664 NA
47.01063086 0 0 0 0 22.98936914 NA
45.17900595 0 0 0 0 24.82099405 NA
38.93430762 0 0 0 0 31.06569238 NA
67.56573937 0 0 0 0 2.434260631 NA
22.90303826 0 0 0 0 47.09696174 NA
40.6121177 1 0 0 0 24.95032031 65.56243801
33.16015755 0 0 0 0 36.83984245 NA
29.94620061 0 0 0 0 40.05379939 NA
38.13198526 0 0 0 0 31.86801474 NA
50.12740313 0 0 0 0 19.87259687 NA
64.74240966 0 0 0 0 5.257590336 NA
67.25014403 0 0 0 0 2.749855968 NA
42.37270868 0 0 0 0 27.62729132 NA
69.48980804 0 0 0 0 0.510191964 NA
16.2720144 0 0 0 1 36.99532638 53.26734078
33.8211033 0 0 0 0 36.1788967 NA
25.5729897 0 0 0 0 44.4270103 NA
38.05010345 0 0 0 0 31.94989655 NA
32.5709185 0 0 1 0 27.12996216 59.70088065
60.60684663 0 0 0 0 9.393153375 NA
57.50017557 0 0 0 0 12.49982443 NA
28.70995493 0 1 0 0 14.16274196 42.87269689
23.44526304 0 0 0 0 46.55473696 NA
40.61908261 0 0 0 0 29.38091739 NA
29.73740752 0 0 0 0 40.26259248 NA
36.95088572 0 0 0 0 33.04911428 NA
64.81799977 0 0 0 0 5.182000226 NA
53.68569678 0 0 0 0 16.31430322 NA
65.27243073 0 0 0 0 4.727569269 NA
27.42085335 0 0 0 0 42.57914665 NA
42.05354546 0 0 0 0 27.94645454 NA
28.7963638 0 0 0 0 41.2036362 NA
31.20334467 0 0 0 0 38.79665533 NA
30.9339709 0 0 0 0 39.0660291 NA
11.65918934 1 0 0 0 48.19947167 59.85866101
26.54238567 0 0 0 0 43.45761433 NA
0.51090041 0 0 1 0 8.733491425 9.244391835
42.26963751 0 0 0 0 27.73036249 NA
31.40922171 0 0 0 0 38.59077829 NA
43.62285933 0 0 0 0 26.37714067 NA
50.44918281 0 0 0 0 19.55081719 NA
26.65930011 0 0 0 0 43.34069989 NA
50.260389 0 0 0 0 19.739611 NA
34.13050028 0 0 0 0 35.86949972 NA
46.44836807 0 0 0 0 23.55163193 NA
61.98714534 0 0 0 0 8.012854657 NA
38.8689647 0 0 0 0 31.1310353 NA
63.89449093 0 0 0 0 6.105509074 NA
30.29623243 0 0 0 0 39.70376757 NA
32.80263847 0 1 0 0 35.52157828 68.32421674
42.02650097 0 0 0 0 27.97349903 NA
54.71852019 0 0 0 0 15.28147981 NA
25.2173221 0 0 0 0 44.7826779 NA
65.68719842 0 0 0 0 4.312801582 NA
45.49117858 0 0 0 0 24.50882142 NA
34.26324616 0 0 0 0 35.73675384 NA
69.26690531 0 0 0 0 0.733094686 NA
62.03745113 0 0 0 0 7.962548872 NA
48.4814464 0 0 0 0 21.5185536 NA
44.9052244 0 0 0 0 25.0947756 NA
60.45749939 0 0 0 0 9.542500612 NA
24.05367939 0 0 0 0 45.94632061 NA
43.06399484 0 0 0 0 26.93600516 NA
46.94220659 0 0 0 0 23.05779341 NA
60.77024609 0 0 0 0 9.229753911 NA
40.09205967 0 0 0 0 29.90794033 NA
56.50638055 0 0 0 0 13.49361945 NA
38.54712893 0 0 0 0 31.45287107 NA
67.19586154 0 0 0 0 2.804138465 NA
34.30076745 0 0 0 0 35.69923255 NA
41.16492913 0 0 0 0 28.83507087 NA
4.308171056 0 1 0 0 11.87226484 16.18043589
26.87039533 0 0 0 0 43.12960467 NA
43.5700701 0 0 0 0 26.4299299 NA
61.27836142 0 0 0 0 8.721638576 NA
64.96619977 0 0 0 0 5.033800227 NA
68.77968173 0 0 0 0 1.220318268 NA
64.86791843 0 0 0 0 5.132081569 NA
26.26761513 0 0 0 0 43.73238487 NA
23.74044527 0 0 0 0 46.25955473 NA
63.01015863 0 0 0 0 6.989841373 NA
55.52841488 0 0 0 0 14.47158512 NA
60.36200838 0 0 0 0 9.637991618 NA
27.69088089 0 0 0 0 42.30911911 NA
35.68917271 0 0 0 0 34.31082729 NA
59.53553371 0 0 0 0 10.46446629 NA
35.44398764 0 0 0 0 34.55601236 NA
65.00408547 0 0 0 0 4.995914525 NA
61.87701482 0 0 0 0 8.122985181 NA
43.13650463 0 0 0 0 26.86349537 NA
44.37584284 0 0 0 0 25.62415716 NA
64.17387018 0 0 0 0 5.826129823 NA
61.34616661 0 0 0 0 8.653833391 NA
57.06231457 0 0 0 0 12.93768543 NA
62.2564353 0 0 0 0 7.743564702 NA
58.28165485 0 0 0 0 11.71834515 NA
53.31217469 0 0 0 0 16.68782531 NA
26.62263678 0 0 0 0 43.37736322 NA
