Vehicle	Miles	Event
V5	22557	Fail
V5	22596	Fail
V5	22726	Fail
V5	22940	End
V5	23683	Start
V5	24015	Fail
V5	24023	Fail
V5	24177	Fail
V5	24208	End
V5	24904	Start
V5	25089	Fail
V5	25109	Fail
V5	25355	Fail
V5	25415	End
V5	26362	Start
V5	26722	Fail
V5	26797	Fail
V5	26834	End
V5	28064	Start
V5	28201	Fail
V5	28229	Fail
V5	28279	Fail
V5	28418	Fail
V5	28503	End
V5	29205	Start
V5	29224	Fail
V5	29251	Fail
V5	29263	Fail
V5	29318	Fail
V5	29715	Fail
V5	29779	End
V6	731	Start
V6	1290	End
V6	2408	Start
V6	2903	End
V6	4097	Start
V6	4544	End
V6	5234	Start
V6	5715	End
V6	6743	Start
V6	7184	Fail
V6	7205	End
V6	7977	Start
V6	8131	Fail
V6	8329	Fail
V6	8561	End
V6	9470	Start
V6	9892	Fail
V6	9965	End
V6	11258	Start
V6	11777	Fail
V6	11853	End
V6	12617	Start
V6	13113	End
V6	13945	Start
V6	14251	Fail
V6	14415	End
V6	15434	Start
V6	15573	Fail
V6	15698	Fail
V6	15827	Fail
V6	15872	Fail
V6	15894	End
V6	16912	Start
V6	17373	Fail
V6	17382	Fail
V6	17424	End
V6	18581	Start
V6	18916	Fail
V6	18965	Fail
V6	19027	Fail
V6	19164	End
V6	19966	Start
V6	20005	Fail
V6	20158	Fail
V6	20195	Fail
V6	20210	Fail
V6	20234	End
V7	984	Start
V7	1433	End
V7	2227	Start
V7	2631	End
V7	3549	Start
V7	3896	Fail
V7	4141	End
V7	5066	Start
V7	5498	End
V7	6414	Start
V7	6997	End
V7	8381	Start
V7	8931	End
V7	10290	Start
V7	10836	End
V7	11460	Start
V7	12045	End
V7	12779	Start
V7	13320	End
V7	14058	Start
V7	14295	Fail
V7	14604	End
V7	15689	Start
V7	15913	Fail
V7	16078	Fail
V7	16084	Fail
V7	16284	End
V7	17354	Start
V7	17424	Fail
V7	17712	Fail
V7	17819	End
V7	19188	Start
V7	19224	Fail
V7	19443	Fail
V7	19646	End
V7	20436	Start
V7	20481	Fail
V7	20691	Fail
V7	20872	Fail
V7	20896	End
V7	21608	Start
V7	22181	End
V7	23353	Start
V7	23512	End
V8	1130	Start
V8	1584	End
V8	2881	Start
V8	3342	End
V8	4088	Start
V8	4431	Fail
V8	4656	Fail
V8	4682	End
V8	5348	Start
V8	5851	Fail
V8	5948	End
V8	6746	Start
V8	7231	End
V8	8001	Start
V8	8405	End
V8	9683	Start
V8	10220	End
V8	11220	Start
V8	11684	Fail
V8	11816	End
V8	13203	Start
V8	13439	Fail
V8	13631	Fail
V8	13729	End
V8	14531	Start
V8	14914	Fail
V8	15126	End
V8	16168	Start
V8	16239	Fail
V8	16290	Fail
V8	16730	End
V8	17780	Start
V8	17795	Fail
V8	18139	Fail
V8	18196	Fail
V8	18293	End
V8	19680	Start
V8	20203	End
V8	21466	Start
V8	21653	Fail
V8	21703	Fail
V8	21737	Fail
V8	21774	Fail
V8	21919	Fail
V8	21952	End
V9	628	Start
V9	1060	End
V9	2040	Start
V9	2476	End
V9	3686	Start
V9	4206	End
V9	5359	Start
V9	5935	End
V9	6722	Start
V9	7264	End
V9	7870	Start
V9	8306	End
V9	9417	Start
V9	9910	End
V9	11025	Start
V9	11218	Fail
V9	11552	End
V9	12723	Start
V9	12986	Fail
V9	13142	End
V9	14232	Start
V9	14755	End
V9	15861	Start
V9	15925	Fail
V9	16070	Fail
V9	16456	End
V9	17773	Start
V9	17778	Fail
V9	17974	Fail
V9	18219	End
V9	19219	Start
V9	19764	Fail
V9	19769	End
V9	20759	Start
V9	20790	Fail
V9	21295	End
V9	22155	Start
V9	22281	Fail
V9	22334	Fail
V9	22416	Fail
V9	22500	Fail
V9	22515	Fail
V9	22577	Fail
V9	22583	Fail
V9	22719	End
V9	23343	Start
V9	23611	Fail
V9	23686	Fail
V9	23752	End
V9	24776	Start
V9	25048	End
V10	840	Start
V10	1355	End
V10	2165	Start
V10	2706	End
V10	3767	Start
V10	4322	End
V10	5561	Start
V10	5615	Fail
V10	5908	Fail
V10	6105	End
V10	6732	Start
V10	7257	End
V10	8190	Start
V10	8732	End
V10	9582	Start
V10	10104	End
V10	11268	Start
V10	11381	Fail
V10	11385	Fail
V10	11672	End
V10	12297	Start
V10	12608	Fail
V10	12735	End
V10	13576	Start
V10	14020	End
V10	15069	Start
V10	15436	Fail
V10	15594	Fail
V10	15624	Fail
V10	15634	End
V10	16584	Start
V10	16597	Fail
V10	16910	Fail
V10	17035	End
V10	17842	Start
V10	18291	Fail
V10	18369	Fail
V10	18430	End
V10	19555	Start
V10	19751	Fail
V10	19904	Fail
V10	19978	Fail
V10	19993	End
V10	21092	Start
V10	21179	Fail
V10	21315	Fail
V10	21406	Fail
V10	21516	End
V10	22769	Start
V10	22898	Fail
V10	23047	Fail
V10	23124	Fail
V10	23187	End
V10	24022	Start
V10	24534	End
V10	25229	Start
V10	25429	Fail
V10	25636	Fail
V10	25683	End
