Unit	Hours	Cost	Event
6.0	1082.0	3.1	Action
6.0	1361.0	2.9	Action
6.0	1480.0	2.9	Action
6.0	1791.0	2.9	Action
6.0	2109.0	2.9	Action
6.0	2290.0	8.0	Action
6.0	2462.0	2.9	Action
6.0	2825.0	2.6	Action
6.0	3130.0	2.7	Action
6.0	3450.0	3.0	Action
6.0	3783.0	3.0	Action
6.0	4126.0	3.3	Action
6.0	4348.0	5.1	Action
6.0	4416.0	2.6	Action
6.0	4512.0	2.6	Action
6.0	4685.0	14.2	Action
6.0	4888.0	2.5	Action
6.0	4947.0	1.2	Action
6.0	5244.0	2.7	Action
6.0	5589.0	2.9	Action
6.0	5945.0	1.2	Action
6.0	5971.0	3.0	Action
6.0	6001.0	2.1	Action
6.0	6218.5	0.0	End
7.0	52.0	4.5	Action
7.0	359.0	3.0	Action
7.0	516.0	5.6	Action
7.0	705.0	3.0	Action
7.0	1009.0	3.3	Action
7.0	1314.0	3.1	Action
7.0	1355.0	3.9	Action
7.0	1377.0	1.3	Action
7.0	1406.0	1.1	Action
7.0	1703.0	3.2	Action
7.0	1967.0	2.8	Action
7.0	2050.0	3.0	Action
7.0	2386.0	2.9	Action
7.0	2673.0	18.3	Action
7.0	2748.0	3.1	Action
7.0	3063.0	2.8	Action
7.0	3360.0	3.5	Action
7.0	3459.0	3.0	Action
7.0	3807.0	3.1	Action
7.0	3926.0	3.5	Action
7.0	4109.0	2.9	Action
7.0	4507.0	2.7	Action
7.0	4860.0	3.1	Action
7.0	5179.0	2.7	Action
7.0	5235.0	14.7	Action
7.0	5457.0	2.2	Action
7.0	5490.0	2.8	Action
7.0	5817.0	2.9	Action
7.0	5851.0	4.7	Action
7.0	6154.0	2.9	Action
7.0	6321.8	0.0	End
8.0	310.0	2.8	Action
8.0	638.0	2.9	Action
8.0	976.0	2.8	Action
8.0	1282.0	2.6	Action
8.0	1627.0	3.2	Action
8.0	1891.0	3.9	Action
8.0	2020.0	3.1	Action
8.0	2173.0	1.6	Action
8.0	2384.0	2.9	Action
8.0	2717.0	2.7	Action
8.0	3018.0	6.2	Action
8.0	3108.0	2.9	Action
8.0	3133.0	2.2	Action
8.0	3421.0	3.1	Action
8.0	3656.0	3.4	Action
8.0	3739.0	3.1	Action
8.0	4081.0	3.1	Action
8.0	4405.0	3.1	Action
8.0	4735.0	3.1	Action
8.0	5080.0	3.1	Action
8.0	5174.0	3.9	Action
8.0	5310.0	2.5	Action
8.0	5458.0	2.9	Action
8.0	5684.0	1.8	Action
8.0	5724.0	5.3	Action
8.0	5815.0	2.9	Action
8.0	5926.0	14.1	Action
8.0	6149.0	0.0	End
9.0	59.0	5.3	Action
9.0	378.0	3.1	Action
9.0	690.0	3.3	Action
9.0	907.0	2.3	Action
9.0	1072.0	2.8	Action
9.0	1152.0	1.8	Action
9.0	1372.0	3.0	Action
9.0	1685.0	2.8	Action
9.0	2034.0	3.2	Action
9.0	2411.0	3.0	Action
9.0	2505.0	8.5	Action
9.0	2785.0	2.7	Action
9.0	3133.0	2.9	Action
9.0	3470.0	2.7	Action
9.0	3860.0	3.4	Action
9.0	4090.0	1.1	Action
9.0	4257.0	2.8	Action
9.0	4576.0	2.9	Action
9.0	4685.0	2.8	Action
9.0	4924.0	3.0	Action
9.0	5249.0	2.7	Action
9.0	5533.0	1.7	Action
9.0	5619.0	3.1	Action
9.0	5714.0	14.3	Action
9.0	5948.0	2.7	Action
9.0	6308.0	2.7	Action
9.0	6658.0	3.0	Action
9.0	7029.0	2.8	Action
9.0	7183.3	0.0	End
10.0	388.0	3.2	Action
10.0	492.0	1.1	Action
10.0	744.0	2.8	Action
10.0	1108.0	2.4	Action
10.0	1419.0	3.0	Action
10.0	1427.0	3.7	Action
10.0	1783.0	3.0	Action
10.0	2108.0	2.8	Action
10.0	2457.0	2.8	Action
10.0	2724.0	8.3	Action
10.0	2764.0	2.9	Action
10.0	2897.0	2.6	Action
10.0	3107.0	3.0	Action
10.0	3435.0	2.7	Action
10.0	3824.0	2.8	Action
10.0	4152.0	3.2	Action
10.0	4538.0	3.2	Action
10.0	4868.0	3.1	Action
10.0	4934.0	4.2	Action
10.0	5176.0	2.9	Action
10.0	5399.0	4.7	Action
10.0	5498.0	2.9	Action
10.0	5873.0	3.0	Action
10.0	6201.0	2.8	Action
10.0	6481.0	1.4	Action
10.0	6543.0	2.8	Action
10.0	6897.9	0.0	End
11.0	382.0	2.9	Action
11.0	758.0	3.3	Action
11.0	903.0	1.7	Action
11.0	1139.0	2.9	Action
11.0	1505.0	3.0	Action
11.0	1520.0	2.9	Action
11.0	1841.0	3.1	Action
11.0	2152.0	2.9	Action
11.0	2472.0	3.0	Action
11.0	2819.0	4.8	Action
11.0	2827.0	3.0	Action
11.0	3198.0	3.1	Action
11.0	3574.0	2.8	Action
11.0	3889.0	2.9	Action
11.0	4205.0	3.6	Action
11.0	4285.0	2.7	Action
11.0	4334.0	1.6	Action
11.0	4624.0	3.1	Action
11.0	4933.0	2.9	Action
11.0	5263.0	1.4	Action
11.0	5282.0	2.9	Action
11.0	5394.0	11.5	Action
11.0	5678.0	2.7	Action
11.0	6033.0	3.1	Action
11.0	6163.0	5.3	Action
11.0	6430.0	2.9	Action
11.0	6793.0	3.0	Action
11.0	7158.0	3.2	Action
11.0	7539.0	3.1	Action
11.0	7581.0	0.0	End
12.0	383.0	3.3	Action
12.0	515.0	5.3	Action
12.0	764.0	3.0	Action
12.0	1132.0	3.0	Action
12.0	1495.0	2.7	Action
12.0	1848.0	3.0	Action
12.0	2163.0	2.8	Action
12.0	2486.0	3.0	Action
12.0	2828.0	2.7	Action
12.0	2982.0	9.1	Action
12.0	3051.0	5.0	Action
12.0	3075.0	1.2	Action
12.0	3199.0	3.0	Action
12.0	3350.0	5.5	Action
12.0	3583.0	3.0	Action
12.0	3934.0	2.8	Action
12.0	4315.0	3.0	Action
12.0	4484.0	0.0	End
13.0	340.0	2.9	Action
13.0	718.0	2.9	Action
13.0	1048.0	2.8	Action
13.0	1443.0	3.0	Action
13.0	1833.0	3.3	Action
13.0	2178.0	2.9	Action
13.0	2559.0	2.8	Action
13.0	2877.0	2.7	Action
13.0	2944.0	13.5	Action
13.0	3224.0	3.2	Action
13.0	3558.0	2.8	Action
13.0	3704.0	1.0	Action
13.0	3925.0	2.6	Action
13.0	4229.0	2.9	Action
13.0	4377.0	3.4	Action
13.0	4612.0	2.9	Action
13.0	4837.0	2.7	Action
13.0	4971.0	2.8	Action
13.0	5277.0	2.8	Action
13.0	5418.5	0.0	End
14.0	351.0	2.4	Action
14.0	430.0	3.7	Action
14.0	694.0	1.8	Action
14.0	745.0	3.0	Action
14.0	790.0	2.0	Action
14.0	1061.0	2.7	Action
14.0	1067.0	2.0	Action
14.0	1408.0	3.0	Action
14.0	1779.0	2.8	Action
14.0	1963.0	5.9	Action
14.0	2152.0	2.8	Action
14.0	2488.0	13.6	Action
14.0	2550.0	3.0	Action
14.0	2854.0	3.0	Action
14.0	3186.0	3.2	Action
14.0	3581.0	2.9	Action
14.0	3622.0	1.3	Action
14.0	3693.0	4.8	Action
14.0	3968.0	3.0	Action
14.0	4012.0	5.4	Action
14.0	4121.0	4.7	Action
14.0	4302.0	3.0	Action
14.0	4616.0	2.7	Action
14.0	4727.0	10.2	Action
14.0	4951.0	3.0	Action
14.0	5281.0	2.6	Action
14.0	5631.0	3.2	Action
14.0	5806.1	0.0	End
15.0	120.0	3.0	Action
15.0	366.0	3.1	Action
15.0	721.0	3.3	Action
15.0	736.0	2.2	Action
15.0	1033.0	2.8	Action
15.0	1419.0	3.5	Action
15.0	1568.0	2.5	Action
15.0	1795.0	2.9	Action
15.0	2008.0	4.1	Action
15.0	2123.0	2.6	Action
15.0	2341.0	3.1	Action
15.0	2514.0	3.1	Action
15.0	2869.0	2.7	Action
15.0	3045.0	18.1	Action
15.0	3233.0	3.1	Action
15.0	3583.0	2.7	Action
15.0	3912.0	5.4	Action
15.0	3935.0	1.6	Action
15.0	3951.0	2.8	Action
15.0	4264.0	3.1	Action
15.0	4532.0	2.3	Action
15.0	4650.0	3.2	Action
15.0	5013.0	2.9	Action
15.0	5134.8	0.0	End
16.0	268.0	4.3	Action
16.0	367.0	3.0	Action
16.0	419.0	2.6	Action
16.0	739.0	3.1	Action
16.0	804.0	6.4	Action
16.0	1040.0	3.3	Action
16.0	1297.0	4.6	Action
16.0	1325.0	5.2	Action
16.0	1435.0	2.8	Action
16.0	1805.0	2.7	Action
16.0	1818.0	3.0	Action
16.0	2141.0	3.1	Action
16.0	2276.0	1.3	Action
16.0	2480.0	3.4	Action
16.0	2851.0	2.9	Action
16.0	3185.0	3.0	Action
16.0	3196.0	15.6	Action
16.0	3502.0	2.8	Action
16.0	3865.0	2.7	Action
16.0	4069.0	4.9	Action
16.0	4177.0	3.2	Action
16.0	4511.0	2.8	Action
16.0	4754.0	4.8	Action
16.0	4846.0	3.1	Action
16.0	4959.1	0.0	End
17.0	380.0	2.7	Action
17.0	687.0	3.0	Action
17.0	847.0	2.0	Action
17.0	1006.0	3.1	Action
17.0	1369.0	3.1	Action
17.0	1714.0	2.8	Action
17.0	2014.0	2.9	Action
17.0	2213.0	17.5	Action
17.0	2337.0	2.6	Action
17.0	2649.0	3.1	Action
17.0	2951.0	2.7	Action
17.0	3290.0	3.1	Action
17.0	3623.0	2.8	Action
17.0	3927.0	1.6	Action
17.0	4012.0	2.8	Action
17.0	4357.0	2.9	Action
17.0	4621.0	5.3	Action
17.0	4651.0	3.4	Action
17.0	4691.0	3.2	Action
17.0	5023.0	2.9	Action
17.0	5253.6	0.0	End
18.0	221.0	2.5	Action
18.0	307.0	2.7	Action
18.0	618.0	3.1	Action
18.0	839.0	3.1	Action
18.0	956.0	3.0	Action
18.0	1294.0	1.8	Action
18.0	1321.0	3.2	Action
18.0	1651.0	2.8	Action
18.0	2007.0	3.0	Action
18.0	2122.0	4.8	Action
18.0	2334.0	2.7	Action
18.0	2699.0	2.9	Action
18.0	2966.0	9.0	Action
18.0	3018.0	3.1	Action
18.0	3373.0	2.9	Action
18.0	3673.0	3.1	Action
18.0	3766.0	1.6	Action
18.0	4064.0	2.7	Action
18.0	4367.0	2.1	Action
18.0	4406.0	2.8	Action
18.0	4475.0	3.8	Action
18.0	4502.0	1.3	Action
18.0	4654.0	1.8	Action
18.0	4682.7	0.0	End
19.0	395.0	3.1	Action
19.0	769.0	3.1	Action
19.0	1154.0	2.7	Action
19.0	1457.0	3.0	Action
19.0	1826.0	3.1	Action
19.0	1839.0	4.4	Action
19.0	2221.0	3.3	Action
19.0	2611.0	2.6	Action
19.0	2780.0	1.3	Action
19.0	2912.0	2.9	Action
19.0	2926.0	4.9	Action
19.0	3258.0	2.9	Action
19.0	3622.0	3.0	Action
19.0	3924.0	3.0	Action
19.0	4264.1	0.0	End
20.0	376.0	3.3	Action
20.0	447.0	4.9	Action
20.0	679.0	5.8	Action
20.0	682.0	2.9	Action
20.0	756.0	2.8	Action
20.0	1065.0	3.0	Action
20.0	1381.0	3.8	Action
20.0	1461.0	3.0	Action
20.0	1669.0	2.6	Action
20.0	1844.0	3.2	Action
20.0	1989.0	3.2	Action
20.0	2038.0	1.7	Action
20.0	2205.0	2.8	Action
20.0	2415.0	13.8	Action
20.0	2556.0	3.1	Action
20.0	2875.0	3.5	Action
20.0	2937.9	0.0	End
21.0	174.0	3.2	Action
21.0	355.0	3.2	Action
21.0	647.0	1.1	Action
21.0	751.0	3.0	Action
21.0	1114.0	2.9	Action
21.0	1124.0	1.5	Action
21.0	1255.0	3.4	Action
21.0	1435.0	2.5	Action
21.0	1736.0	2.9	Action
21.0	2017.2	0.0	End
22.0	303.0	2.9	Action
22.0	643.0	3.1	Action
22.0	794.0	1.0	Action
22.0	983.0	3.0	Action
22.0	1005.0	2.5	Action
22.0	1296.0	3.1	Action
22.0	1685.0	3.0	Action
22.0	2041.0	2.9	Action
22.0	2375.0	3.0	Action
22.0	2453.1	0.0	End
23.0	328.0	3.0	Action
23.0	679.0	3.0	Action
23.0	877.0	3.2	Action
23.0	1008.0	3.0	Action
23.0	1016.0	2.9	Action
23.0	1390.0	2.9	Action
23.0	1714.0	3.0	Action
23.0	1971.0	5.0	Action
23.0	1979.0	5.4	Action
23.0	2108.0	3.2	Action
23.0	2130.0	1.9	Action
23.0	2366.0	2.1	Action
23.0	2434.0	2.6	Action
23.0	2745.0	9.5	Action
23.0	2777.0	5.3	Action
23.0	2799.0	2.8	Action
23.0	3137.1	0.0	End
